id,title,artist,track_id,artist_id,rank,hit,artist_popularity,followers,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,God's Plan,Drake,2XW4DbS6NddZxRPm5rMCeY,3TVXtAsR1Inumwj472S9r4,1,Yes,100,18311322,99,0.753,0.45399999999999996,7,-9.488,1,0.0963,0.0244,5.6200000000000004e-05,0.498,0.344,77.17
2,Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v,6eUKZXaKkcviH0Ku9w2n3V,1,Yes,96,21431294,95,0.599,0.44799999999999995,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05
3,Finesse,Bruno Mars & Cardi B,3Vo4wInECJQuz9BIBMOu8i,0du5cEVh5yTK9QJze8zA0C,3,Yes,91,11594549,95,0.7040000000000001,0.8590000000000001,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.9259999999999999,105.115
4,Havana,Camila Cabello Featuring Young Thug,1rfofaqEpACxVEHIZBJe6W,4nDoRrQiYLoBzwC5BhVJzF,1,Yes,91,3144195,97,0.765,0.523,2,-4.333,1,0.03,0.184,3.5600000000000005e-05,0.132,0.39399999999999996,104.988
5,Rockstar,Post Malone Featuring 21 Savage,0OAAAdiHJKa2wlCKqaYXV7,246dkjvS1zLTtiykXe5h60,1,Yes,96,3309267,90,0.575,0.535,5,-6.6370000000000005,0,0.0776,0.13,0.00013000000000000002,0.14300000000000002,0.127,159.764
6,New Rules,Dua Lipa,2ekn2ttSfGqwhhate0LSR0,6M2wZ9GZgrQXHCFfjv46we,6,Yes,91,2695470,94,0.7709999999999999,0.696,9,-6.257999999999999,0,0.0755,0.00256,9.71e-06,0.179,0.6559999999999999,116.054
7,Pray For Me,The Weeknd & Kendrick Lamar,6ZNo7Vi0TE9ul1fhKd4S1M,1Xyo4u8uXC1ZmMpatF05PJ,7,Yes,95,9887773,89,0.7340000000000001,0.667,2,-4.996,1,0.0871,0.092,2.12e-05,0.10400000000000001,0.165,100.57799999999999
8,Stir Fry,Migos,2UVbBKQOdFAekPTRsnkzcf,6oMuImdp5ZcFhWP0ESe6mG,8,Yes,93,4750442,92,0.815,0.816,2,-5.474,1,0.26899999999999996,0.00299,0.0,0.159,0.498,181.967
9,Meant To Be,Bebe Rexha & Florida Georgia Line,7iDa6hUg2VgEL1o1HjmfBn,64M6ah0SkkRsnPGtGiRAbb,9,Yes,88,1564634,96,0.643,0.7829999999999999,10,-6.457999999999999,1,0.0856,0.047,0.0,0.083,0.579,154.084
10,Bad At Love,Halsey,7y9iMe8SOB6z3NoHE2OfXl,26VFTg2z8YR0cCuwLzESi2,5,Yes,87,2920639,83,0.675,0.736,0,-3.6039999999999996,1,0.0302,0.06,0.0,0.0879,0.607,118.369
11,Thunder,Imagine Dragons,7BrsBU0BAytRDvROM4yCbn,53XhwfbYqKCa1cC15pYq2q,4,Yes,91,8494799,84,0.601,0.809,0,-4.814,1,0.0441,0.00763,0.0757,0.145,0.249,167.96
12,Let You Down,NF,52okn5MNA47tk87PeZJLEL,6fOMl44jA4Sp5b9PpYCkzz,12,Yes,85,840675,86,0.6559999999999999,0.721,5,-5.665,0,0.122,0.298,0.0,0.17300000000000001,0.46799999999999997,148.066
13,Love.,Kendrick Lamar Featuring Zacari,6PGoSes0D9eUDeeAafB2As,2YZyLoL8N0Wb9xBt1NhZWg,11,Yes,96,8354296,87,0.7979999999999999,0.5820000000000001,10,-7.38,1,0.10300000000000001,0.29,0.0,0.153,0.7659999999999999,126.075
14,MotorSport,"Migos, Nicki Minaj & Cardi B",4wFjTWCunQFKtukqrNijEt,6oMuImdp5ZcFhWP0ESe6mG,6,Yes,93,4750442,85,0.8959999999999999,0.515,2,-5.395,1,0.183,0.0338,0.0,0.317,0.174,138.016
15,Him & I,G-Eazy & Halsey,5k38wzpLb15YgncyWdTZE4,02kJSzxNuaWGqwubyUba0Z,15,Yes,89,2956794,92,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.90799999999999
