id,title,artist,track_id,artist_id,rank,hit,artist_popularity,followers,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5538,That's What She Gets For Loving Me,Brooks & Dunn,1BsW6G8T2QhG5RYykq58AF,0XKOBt59crntr7HQXXO8Yz,53,No,67,573553,37,0.635,0.5720000000000001,9,-4.49,1,0.0291,0.116,0.0,0.14400000000000002,0.285,127.206
4448,I Told You So,Keith Urban,4UTcJuLaHwsPPP1bNnTRDt,0u2FHSq3ln94y5Q57xazwf,48,No,77,2060812,48,0.627,0.841,1,-5.885,0,0.0316,0.00788,1.47e-06,0.0552,0.73,105.995
3941,When It Hurts,Avant,00zqTWtvCWvDtAqoLRl6Sy,0AunegKKH2ys98aLxq8G1A,91,No,59,448466,52,0.682,0.6459999999999999,11,-5.509,1,0.0839,0.376,0.0,0.0705,0.253,128.279
1397,Waves,Mr. Probz,5Sf3GyLEAzJXxZ5mbCPXTu,33W1pnW9zScZtYTnAoWnOT,14,Yes,71,236696,76,0.8290000000000001,0.51,5,-9.334,0,0.0369,0.00821,0.0014,0.0829,0.45,119.993
6163,"I Breathe In, I Breathe Out",Chris Cagle,3r513lY50AOJBqaG4nP2LT,1zhIzONVRlTfD1VQRauHMl,35,No,62,258710,45,0.316,0.514,7,-7.047999999999999,1,0.0271,0.17800000000000002,0.0,0.194,0.242,185.882
3156,The Catalyst,Linkin Park,2NXLCUySCK9odGGCGIzbOA,6XyY86QOPPrYVGvF9ch6wz,27,Yes,87,7792753,55,0.56,0.925,0,-5.48,1,0.0362,0.0372,0.0,0.104,0.17800000000000002,135.009
6401,When Somebody Loves You,Alan Jackson,4XVLJ62eA8szyqGS7vmVsB,4mxWe1mtYIYfP040G38yvS,52,No,73,712247,42,0.6859999999999999,0.306,0,-12.811,1,0.0256,0.759,9.18e-05,0.108,0.192,83.84899999999998
6082,Hate To Say I Told You So,The Hives,6xxXrNJnnsQNLdgNk8S4y8,4DToQR3aKrHQSSRzSz8Nzt,86,No,60,318567,57,0.451,0.929,5,-5.021,1,0.0549,0.00109,0.00785,0.442,0.378,135.767
40,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,5tz69p7tJuGPeMGwNTxYuV,4xRYI6VqpkE3UwrDrAZL8L,3,Yes,92,2189657,85,0.629,0.5720000000000001,5,-7.733,0,0.0387,0.57,0.0,0.192,0.386,100.015
7138,When You Believe,Whitney Houston & Mariah Carey,0JN7vUgUolHGHFrOR8xk7S,6XpaIBNiVzIetEPCWDvAFP,15,Yes,77,2484836,62,0.436,0.39,1,-9.62,0,0.0326,0.557,0.0,0.12,0.119,125.313
1912,Come Thru,Drake,5CDy1I6rSt6vXdqIb87A6f,3TVXtAsR1Inumwj472S9r4,87,No,100,18311844,65,0.5479999999999999,0.473,3,-5.7970000000000015,1,0.152,0.172,0.0,0.579,0.398,107.093
3375,One Less Bell To Answer / A House Is Not A Home,Glee Cast Featuring Kristin Chenoweth,3aiKybRCTBazAplseCewQc,0SCbttzoZTnLFebDYmAWCm,53,No,77,833522,40,0.266,0.354,5,-6.132999999999999,0,0.0318,0.728,0.0,0.123,0.134,106.3
2679,Fight For You,Jason Derulo,2X42KFgnOSaxOHMG0nDOdj,07YZf4WDAMNwqr4jfgOZ8y,83,No,87,4707420,57,0.416,0.84,0,-4.298,1,0.0787,0.0139,0.0,0.113,0.523,177.942
6315,Angels In Waiting,Tammy Cochran,74h3Wdt3mkmA9GX3qqkkbH,7EVaoxToIYScm77vpplHXf,73,No,20,4674,28,0.691,0.366,6,-7.565,1,0.028,0.565,0.0,0.127,0.278,88.78200000000002
814,Body,Dreezy Featuring Jeremih,20s34XSPIiYMGSFDRSs24t,7gWumE1wMALHXANLSIt054,62,No,63,235695,63,0.72,0.569,0,-6.044,1,0.0701,0.53,0.0,0.0657,0.573,150.064
4535,Anyway,Martina McBride,6IVjlFGclF83Y3A5WSnDSt,3P33qFNGBVXl86yQYWspFj,32,No,59,355688,43,0.523,0.521,5,-6.756,1,0.026,0.179,1.44e-05,0.102,0.28800000000000003,137.016
3843,Gotta Be Somebody,Nickelback,06T10fEzN8ZCcqzQZYA184,6deZN1bslXzeGvOLaLMOIF,10,Yes,78,2565762,65,0.536,0.89,0,-5.222,1,0.0601,0.000354,0.00165,0.133,0.205,115.998
2521,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",4QNpBfC0zvjKqPJcyqBy9W,0TnOYISbd1XYRBk9myaseg,1,Yes,84,5139287,75,0.6709999999999999,0.939,8,-3.2060000000000004,1,0.161,0.192,0.0,0.298,0.529,129.023
137,That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,0du5cEVh5yTK9QJze8zA0C,1,Yes,91,11594682,88,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066
522,Happier,Ed Sheeran,2RttW7RAu5nOAfq6YFvApB,6eUKZXaKkcviH0Ku9w2n3V,59,No,96,21431749,86,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792
4899,Rompe,Daddy Yankee,2Q85xwXagilpHKTfdrbC7M,4VMYDCV2IEDYJArk749S6m,24,Yes,92,6319245,77,0.69,0.86,5,-2.622,0,0.0559,0.111,0.0,0.317,0.867,176.02700000000004
290,Two,Lil Uzi Vert,65kp3OFn7JXbCvkm3m2Ui2,4O15NlyKLIASxsJ0PrXPfz,80,No,90,3537948,66,0.266,0.642,7,-5.132999999999999,1,0.0694,0.424,0.0,0.0943,0.0371,75.02199999999998
2394,Got My Country On,Chris Cagle,2jwGTxCfrIrvfEJduk81mY,1zhIzONVRlTfD1VQRauHMl,86,No,62,258705,49,0.503,0.838,7,-4.529,1,0.0525,0.197,0.0,0.0411,0.541,160.159
7161,From This Moment On,Shania Twain,7n2vETKqnlDt4670aVs5n5,5e4Dhzv426EvQe3aDb64jL,4,Yes,71,865667,50,0.428,0.514,7,-5.021,1,0.0271,0.382,0.0,0.18600000000000005,0.14800000000000002,135.819
6260,Dig In,Lenny Kravitz,0mBmE1IzBpbhfwEU4nd4ew,5gznATMVO85ZcLTkE9ULU7,31,No,69,1047007,44,0.6709999999999999,0.921,9,-3.878,1,0.0291,0.0129,0.0235,0.0579,0.825,118.424
1343,The Blacker The Berry,Kendrick Lamar,5Mtt6tZSZA9cXTHGSGpyh0,2YZyLoL8N0Wb9xBt1NhZWg,66,No,96,8354452,62,0.56,0.858,10,-4.09,0,0.326,0.00744,0.0,0.429,0.262,176.11700000000005
3363,All I Ever Wanted,Kelly Clarkson,31wPF6zccO0cINHfUS7wWb,3BmGtnKgCSGYIUhmivXKWX,96,No,78,2840745,40,0.633,0.866,11,-3.633,1,0.0443,0.0103,0.0,0.227,0.696,100.007
