1,God's Plan,Drake,2XW4DbS6NddZxRPm5rMCeY,3TVXtAsR1Inumwj472S9r4,99,0.753,0.454,7,-9.488,1,0.0963,0.0244,5.62e-05,0.498,0.344,77.17
2,Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v,6eUKZXaKkcviH0Ku9w2n3V,95,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05
3,Finesse,Bruno Mars & Cardi B,3Vo4wInECJQuz9BIBMOu8i,0du5cEVh5yTK9QJze8zA0C,95,0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115
4,Havana,Camila Cabello Featuring Young Thug,1rfofaqEpACxVEHIZBJe6W,4nDoRrQiYLoBzwC5BhVJzF,97,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988
5,Rockstar,Post Malone Featuring 21 Savage,0OAAAdiHJKa2wlCKqaYXV7,246dkjvS1zLTtiykXe5h60,90,0.575,0.535,5,-6.637,0,0.0776,0.13,0.00013,0.143,0.127,159.764
6,New Rules,Dua Lipa,2ekn2ttSfGqwhhate0LSR0,6M2wZ9GZgrQXHCFfjv46we,94,0.771,0.696,9,-6.258,0,0.0755,0.00256,9.71e-06,0.179,0.656,116.054
7,Pray For Me,The Weeknd & Kendrick Lamar,6ZNo7Vi0TE9ul1fhKd4S1M,1Xyo4u8uXC1ZmMpatF05PJ,89,0.734,0.667,2,-4.996,1,0.0871,0.092,2.12e-05,0.104,0.165,100.578
8,Stir Fry,Migos,2UVbBKQOdFAekPTRsnkzcf,6oMuImdp5ZcFhWP0ESe6mG,92,0.815,0.816,2,-5.474,1,0.269,0.00299,0,0.159,0.498,181.967
9,Meant To Be,Bebe Rexha & Florida Georgia Line,7iDa6hUg2VgEL1o1HjmfBn,64M6ah0SkkRsnPGtGiRAbb,96,0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084
10,Bad At Love,Halsey,7y9iMe8SOB6z3NoHE2OfXl,26VFTg2z8YR0cCuwLzESi2,83,0.675,0.736,0,-3.604,1,0.0302,0.06,0,0.0879,0.607,118.369
11,Thunder,Imagine Dragons,7BrsBU0BAytRDvROM4yCbn,53XhwfbYqKCa1cC15pYq2q,84,0.601,0.809,0,-4.814,1,0.0441,0.00763,0.0757,0.145,0.249,167.96
12,Let You Down,NF,52okn5MNA47tk87PeZJLEL,6fOMl44jA4Sp5b9PpYCkzz,86,0.656,0.721,5,-5.665,0,0.122,0.298,0,0.173,0.468,148.066
